Date,22058,22067,22063,22070,22004,22046,22067-2
1983-01-01,7,2.2,7.5,10.9,12.5,12.4,9.8
1983-02-01,0,0.5,5.6,2.6,3.4,1.6,2.3
1983-03-01,20,3.6,15.4,18.1,19.3,12,16.3
1983-04-01,0,0,0,0,0,0,0
1983-05-01,13,3,11.6,14.8,15,14.1,13.3
1983-06-01,71,7.6,13,37.4,16.5,24.4,34
1983-07-01,24,8.3,46.6,41.6,55.8,33.1,37.1
1983-08-01,65,11.1,61.9,55.2,41.5,33.7,49.7
1983-09-01,6.5,7.1,39.2,35.4,22.6,56.3,31.8
1983-10-01,16,4.7,26.3,23.5,27.2,19.2,21.1
1983-11-01,24,5,27.8,24.8,32.3,11.4,22.2
1983-12-01,0,0,0.2,0.1,0,0.3,0.1
1984-01-01,0,1.3,7.4,6.6,13.5,5.8,5.8
1984-02-01,5,1.6,6.5,7.8,6.4,9.7,7
1984-03-01,0,0.2,0,1.1,1.8,2.2,1
1984-04-01,0,0,0,0,0,0,0
1984-05-01,17,2.6,5.2,12.9,12.5,10.6,11.7
1984-06-01,20,3.6,10.2,17.2,19.4,21.8,16
1984-07-01,45.1,4.7,60.3,48.8,70.5,33.8,21
1984-08-01,19,4.5,24,21.8,22.8,46.5,20
1984-09-01,20.9,4.5,18.5,26.5,22.3,34.3,20
1984-10-01,8,2,12,12.1,20.6,0.5,9
1984-11-01,0,0.4,2.3,1.4,1.7,6.1,2
1984-12-01,0,0,19.2,10.2,27.3,1.4,0
1985-01-01,0,0.4,3.2,1.3,0,4.1,2
1985-02-01,0,0.2,0.2,0.3,0,2.5,1
1985-03-01,0,1.3,0,3.3,7.6,4.5,6
1985-04-01,18,2.2,34.9,18.6,10.5,15.5,10
1985-05-01,36,4.5,27.4,28.2,23.8,40,20
1985-06-01,33,10.6,88.9,52.8,41.5,38.2,47.1
1985-07-01,94,7,35.8,52.7,29.3,51.8,31.3
1985-08-01,40,4.5,26.4,31.5,34.7,43.4,20
1985-09-01,7,1.7,14.7,12.8,24.3,39.4,7.5
1985-10-01,16,0.9,37.5,27.7,60.8,6.5,4
1985-11-01,0,1.2,4.2,3.2,3.7,1.8,5.2
1985-12-01,5,0.6,8,6.9,13.3,4.3,2.5
1986-01-01,0,0,0,0,0,0.1,0
1986-02-01,0,0.9,2.2,1.9,1.3,1.6,4
1986-03-01,0,0,0,0,0,0,0
1986-04-01,9,1.3,8.5,7.5,14,0,5.8
1986-05-01,7,4.5,22.8,20.3,49.3,5.3,20
1986-06-01,47,10.5,60.7,54.1,61.8,36.7,46.7
1986-07-01,33,7.7,48.2,43,64.8,25.4,34.5
1986-08-01,26,8.6,40.9,36.7,17.5,40,38.5
1986-09-01,47,11.4,67,59.9,54.5,54.4,51
1986-10-01,50,11,57.6,51.4,46.7,33.6,49
1986-11-01,18,5.3,25.2,22.5,26.4,12.9,23.5
1986-12-01,14,0,11.1,10,6.3,11.8,0
1987-01-01,0,0,0,0,0,0,0
1987-02-01,0,0.1,0.3,0.3,0,0.6,0.3
1987-03-01,3,0,3,2.7,1.8,3.9,0
1987-04-01,5,3.5,10.5,9.3,15.7,0,15.5
1987-05-01,5,9.4,20.6,18.4,9.2,9.4,41.8
1987-06-01,4.4,2,28.5,25.5,46.2,33.4,9
1987-07-01,42,5.8,47.8,42.7,41.2,37.7,26
1987-08-01,21.3,5.9,30.1,26.9,26.8,20,26.5
1987-09-01,20,4.5,20.5,18.3,14.5,9.1,20
1987-10-01,0,0,0,0,0,0,0
1987-11-01,12,1.3,12.3,11,11.8,8.5,5.8
1987-12-01,0,0,0.2,0.2,0,0.5,0
1988-01-01,6,0,4.9,4.4,4.3,4.4,0
1988-02-01,0,0,0,0,0,0,0
1988-03-01,3,0,9.4,8.4,9.5,15.5,0
1988-04-01,2,9.6,22,19.6,16.2,10.5,42.8
1988-05-01,0,0,6.6,5.9,19.3,4.9,0
1988-06-01,36,5,36.5,32.5,46.5,13.4,22.5
1988-07-01,39,10.3,43.3,43.8,42.3,27.9,46
1988-08-01,58,4.1,43.7,39,21.5,30.6,18.5
1988-09-01,19,1.8,16.4,14.6,14.3,9.2,8
1988-10-01,0,0,3.3,3,0,8.7,0
1988-11-01,0,0,2.8,2.5,6.2,3.4,0
1988-12-01,0,0,0,0,0,0,0
1989-01-01,0,0,1.2,0.3,0,0,0
1989-02-01,4,0,11.2,5.4,7.5,6.4,0
1989-03-01,0,0,0,0,0,0,0
1989-04-01,7,0.2,2.1,4.4,6.5,1.5,1
1989-05-01,28,5.8,32.5,29.8,30.3,20,26
1989-06-01,31,18.1,46.2,49.9,34.8,12.3,81
1989-07-01,30,3.4,17.4,28.4,50.8,13.2,15
1989-08-01,31,7.8,40.8,43.7,70.9,32.5,34.8
1989-09-01,18,2.1,0,27.6,90.6,14.3,9.5
1989-10-01,0,0.7,2,3.8,15.5,0,3.3
1989-11-01,0,1.1,3,4.1,9.5,0,5
1989-12-01,0,1.8,8,9,19.5,8.7,8
1990-01-01,0,1.5,0,1.8,0,0,6.5
1990-02-01,0,4.7,11.3,11,12.5,9.7,21
1990-03-01,6,7.1,3.2,11.2,0,8.5,31.5
1990-04-01,4,0.3,0,9.1,35,22.2,1.5
1990-05-01,16.4,4,26,20.8,20,15.9,18
1990-06-01,0,6,25,20.7,35.7,18.8,27
1990-07-01,23,7.1,33,32.5,42.8,25.9,31.5
1990-08-01,34,7.8,24.4,38.8,45.2,36.9,34.9
1990-09-01,17,7.1,18.8,29.9,54.5,25.1,31.5
1990-10-01,18,4.7,34.6,25.1,27,20,21
1990-11-01,0,0.3,9,9,30.5,1,1.5
1990-12-01,0,0.3,1.6,0.8,0,2.7,1.5
1991-01-01,0,0,7.5,1.7,0,0,0
1991-02-01,0,0,4.2,1,0,0,0
1991-03-01,0,0,0,0,0,0,0
1991-04-01,0,0,1,0.2,0,0.2,0
1991-05-01,5.7,0.2,3,2.8,0,4.7,1
1991-06-01,20,10.5,47.3,45.8,74.2,38.9,47
1991-07-01,90,9,55.8,68,74.3,49.6,40
1991-08-01,33.5,3.1,6.8,19.8,18,8.9,14
