 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 2001 
 NOMBRE    : AGUA CALIENTE 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969	19.5	30	15	2.5	5.5	0	0	0	0	0	6.5	9.5	88.5	7.4	12
1970	2	30	29	3.8	0	0	0	2.5	0	1.5	21	24	113.8	9.5	12
1971	9	14.1	2	12.5	9	0	0	4	4.5	13.5	0.5	9.5	78.6	6.6	12
1972	0	2	0	1	3	37	0	0	1.5	26	21	17.5	109	9.1	12
1973	11.5	17	23.5	2	0.5	0	0	0.5	0	0	12	2	69	5.8	12
1974	39	4	19.6	3	0	0	22.8	0		18	3.5	9.5	119.4	10.9	11
1975	10.5	13.5	19.5	19	0	1	1.5	2	0.4	1	17.5	6	91.9	7.7	12
1976	0	37	14.5	6.7	0	0	1.5	0.4	34.5	2.1	40	23	159.7	13.3	12
1977	10	11	12	3.2	17	2.8	0	70	0	12.5	6.5	49.5	194.5	16.2	12
1978	38.5	33	35.5	9.5	0	0	0	0	8.5	0	38	28.5	191.5	16	12
1979	28.5	7	28.5	0.3	3.5	0	4.5	0	0	9.5	6	9.5	97.3	8.1	12
1980	112	60	20	11	7.5	0	1	0	0	0	0	9.5	221	18.4	12
1981	27.5	26.5	18.5	12.5	0	0	0	0	2.3	1.5	15.5	7.5	111.8	9.3	12
1982	27	19	29	8.5	0.5	0	0	0	1.8	4.5	29	17	136.3	11.4	12
1983	26	63.5	42.5	21	3	0	0	6.5	11	45	19.5	15	253	21.1	12
1984	7	0	1	3.5	0	0	2.5	3.7	0	1.8	10	26.9	56.4	4.7	12
1985	5.5	12.5	8.5	2	0	0	8.5	0	14	15.5	42	20	128.5	10.7	12
1986	12.5	14	37	3	0	0	1	1.5	5	13	8	10	105	8.8	12
1987	33.5	27	11	13	1.5	0	0	2	4.5	28.5	22	31.5	174.5	14.5	12
1988	50.5	11	19	18.5	0	0	5.5	0	0	0.5	5	11	121	10.1	12
1989	3.5	3	14	0.5	1.5	0	0.1	0	1	3.5	0.1	2	29.2	2.4	12
1990	19.5	6.5	3.5	4	6.5	2	0.1	0.1	0.1	0.1	16.5	14.5	73.4	6.1	12
1991	18.5	42	25.5	0.5	0.1	0	12	0	0.2	14.5	5.5	13	131.8	11	12
1992	28.5	36	26.5	1.5	17	0	0.1	19	0	5	0	42	175.6	14.6	12
1993	49.5	44	10	0	3	3.5	0	0	0	2	8.5	12.5	133	11.1	12
1994	14.5	25	16	9.5	0	0	0	17.5	0	0.1	6	16	104.6	8.7	12
1995	31.5	57.5	33	22	6.5	4.5	1.5	0	6.5	0.1	4.5	4.5	172.1	14.3	12
1996	14	22	26	1.5	0	0	0.1	5	0	0.1	9.5	4.5	82.7	6.9	12
1997	39	19	0	5	0	4.5	0	0.1	13.5	1	35.5	27	144.6	12.1	12
1998	13.5	62	31	17.5	12.5	0.1	0.1	27	4	4.5	13.5	9	194.7	16.2	12
1999	8	17.5	12.5	19	0.1	1	3.5	0	0.1	0	0	3.5	65.2	5.4	12
2000	6	34	20	9	0	12.5	0	0	2	4.5	10	3.5	101.5	8.5	12
2001	29	16.5	10.5	10	0	0	3.5	2	1.5	0	9	13	95	7.9	12
2002	2	1.5	9	2.2	0	0	3.5	0	10	0.5	9	9	46.7	3.9	12
2003	2	43	28.5	25	2	0	7	2	0.5	0	9	12.5	131.5	11	12
2004	4.5	30	6.5	5	0	0	0	3	5	69	11	70	204	17	12
2005	22.5	23	4.5	4	2.5	0	0.5	1.5	0	9	0	0	67.5	5.6	12
2006	2	1.5	24	17	16	0	0	0	0.8	3	0.4	4	68.7	5.7	12
2007	12	9.5	5.4	5.5	3.8	0	0	0	1.5	0	43	8	88.7	7.4	12
2008	33	14	12	0	6.7	1.1	0	3.4	0	0	26.2		96.4	8.8	11
2009	1.1	17.5	0	5.7	0	1	0	1.2	5	0	12	11.6	55.1	4.6	12
2010	66.4	24.9	13.7	15.2	0	0	1.5	0	0	28.5	9.4	22.5	182.1	15.2	12
2011	14.2	48.3	25.2	9.3	25.2	0	3.2	0	0	4.9	30.7	20.9	181.9	15.2	12
2012	3.5	17.5	35.5	16.2	0	0	0	3.8	6.8	1.3			84.6	8.5	10
2013	46.7	12.3	16.5	0	3.4	0	1.9	3.1	3.9	15.7	4.4	5.5	113.4	9.5	12
2014	1.5	3.6	21.4	4.6	0	0	1.9	1.5	0	0	2.5	13.7	50.7	4.2	12
2015	6.4	4.2	20.2	4.5	20	0	6.9	0	1.9	16.5	10.6	13.9	105.1	8.8	12
2016	27.4	0	15.3	14.2	11.2	0	0	0	14.4	0	14.4	33.8	130.7	10.9	12
2017	23.7	33.5	4.8	0	3.7	0	0	1	0	0	3	0	69.7	5.8	12
2018	32.5	6.8	6.7	0	0	0	0	0	1.5	2.2	25.7	26.5	101.9	8.5	12
2019	16.5	27.5	7.9	3.1	14.9	0	3.4	0	12.2	0	46.5	20.2	152.2	12.7	12
2020	6.4	22	16	11	0	0	0	0	0	0	10.2	7.3	72.9	6.1	12
2021	0												0	0	1
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MÁXIMA	112	63.5	42.5	25	25.2	37	22.8	70	34.5	69	46.5	70	253	21.1	
MEDIA	20.2	22.3	17.1	7.7	4	1.4	1.9	3.5	3.5	7.3	13.9	15.6	115.6	9.7	
DESV.ST	20.1	16.8	10.7	6.9	6.2	5.4	3.9	10.7	6.1	12.9	12.6	13.2	51.9	4.3	

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969	90.3	82.6	51.5	2.7	10	0	0	0	0	0	13.2	11.4	261.7	21.8	12
1970	4.3	66.4	59.7	10.6	0	0	0	2.5	0	2	27	65.5	238	19.8	12
1971	17	26.7	2.3	23	11	0	0	4	6	24.5	1	44.5	160	13.3	12
1972	0	2.5	0	1	3	43	0	0	1.5	52.5	47	40	190.5	15.9	12
1973	45.5	60.5	106	4.5	1	0	0	0.5	0	0	27.5	3.5	249	20.8	12
1974	71.2	4.9	31.5	3	0	0	39	0		27	3.7	24	204.3	18.6	11
1975	14	20.5	58.1	63.9	0	1	1.5	3	0.6	1	29.3	7.5	200.4	16.7	12
