 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 2004 
 NOMBRE    : IGNACIO ZARAGOZA -BELEN- 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1964												31.5	31.5	31.5	1
1965	3	29	24.5	37	0.1	0.2	5	6	3	0	70.7	30.6	209.1	17.4	12
1966	10.5	22.5	8.5	0	0.7	0	0	0	0	0	0	13.5	55.7	4.6	12
1967	0	0	5.1	22	0	0	1.2	0	0	0	23	49.5	100.8	8.4	12
1968	6.3	9	22.5	2.8	6.1	3.1	9	0	0	1.2	10.5	19.5	90	7.5	12
1969	46.7	45.4	13.5	3	5.5	0	1.5	0	6.3	0	17	9.5	148.4	12.4	12
1970	6.5	29	35	11	0	0	0	11.2	0	3.5	23.4	32.2	151.8	12.7	12
1971	15.4	19.5	6.5	17.2	10.6	0	0	2.1	5.3	17.5	4.4	15.5	114	9.5	12
1972	0	4.6	0.2	0.8	2.4	20.7	0	4	20	29.5	23.5	15.9	121.6	10.1	12
1973	10.6	18	31.5	3.7	1.6	0	0	5.5	0	1	18	2.6	92.5	7.7	12
1974	43	1	23.5	1.6	0	0	20.3	0	0	24.2	3.1	9.7	126.4	10.5	12
1975	24.2	12.2	18	25.6	0.5	2.7	0	0	5.6	0	17.3	6.5	112.6	9.4	12
1976	0.3	49.2	15	15.5	0.2	0.1	2.2	0	55.9	13.8	17.8	16.4	186.4	15.5	12
1977	15.4	7.5	16.7	6.5	16.5	2.1	1.3	57.5	0	27.9	3.6	70.5	225.5	18.8	12
1978	64.8	38.3	62.3	11.3	0.2	0	0	0	2.4	1.9	37.4	33	251.6	21	12
1979	25.4	19.5	34.4	2.3	3.5	0	7	0	0	11.3	7.6	19.3	130.3	10.9	12
1980	125.5	67.7	22.1	25.2	11.2	0	0	0	0	0	0	10.5	262.2	21.9	12
1981	30	23.7	28.1	8.8	2.3	0	0	1.7	1.5	1.5	27.7	8.8	134.1	11.2	12
1982	1.2	35.6	35.2	11.4	1.7	0	7	1.2	3.6	4.7	44.2	33.3	179.1	14.9	12
1983	0	54	61	19.2	0	0	0	33	7.5	28	20.1	29.9	252.7	21.1	12
1984	8	0	8	8			0.4	7	0.4	0.4	10	35	77.2	7.7	10
1985	10.5	20	7	0.3	0	0	2	0	6	25	45	19	134.8	11.2	12
1986	17	31	19	3	0	0	2	0	10	18	15	18	133	11.1	12
1987	18	35	19	10	1	0	0	0	5	25	50	25	188	15.7	12
1988	13	35	25	25	0	0	0	0	0	0	14	13	125	10.4	12
1989		41	22	2	1	0	0	0	3.5	2	2	2	75.5	6.9	11
1990	24	10	5	4.5	6.5	4.5	0	0	0	0	15.5	21	91	7.6	12
1991	17	132	37		1.7	0	3	0	17	17	9		233.7	23.4	10
1992	36	40	24	4	13	0							117	19.5	6
1993				0	4	3	0	2	0	8	13	11	41	4.6	9
1994	11.5	35	20	10	0	0	0	16	0	3.5	15.4	2.5	113.9	9.5	12
1995	31	71	30	21	5	0.3	0		3		6	5	172.3	17.2	10
1996	34	24	44	4	0	0	5	9	0	14	18	5	157	13.1	12
1997	59	21	0	14	0	5	0	0	19	0.5	28	36.5	183	15.2	12
1998	31	47	26.5	8.5	23	0.5	0	18.5	4	6	13.5	13	191.5	16	12
1999	9.5	0	14.5										24	8	3
2000	3	32	13	0	0	8	0	0	3	8	15.5	2.5	85	7.1	12
2001	24	20	0	12.5	0	0	3	0.2	0	0	13.5	11	84.2	7	12
2002	5	1	12	2	0	0							20	3.3	6
2003						0	0	0	0	0	16.5	17.2	33.7	4.8	7
2004	4.1	40.1	14.2	7.2	0	0	0	0	0	42	20.2	35.5	163.3	13.6	12
2007	0	0	0	0	0	0	0	0	4	0	45	15	64	5.3	12
2008	45	20	10	0	7.3	0	8.5	5.5	0	0	32		128.3	11.7	11
2009	1	16	0	3	0	0.7	0	0	2	0	18	51	91.7	7.6	12
