 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 2036 
 NOMBRE    : OLIVARES MEXICANOS 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1936	0	18	12	2	0	0	40	38	0	11	6	27	154	12.8	12
1954			41.5	1.5	0.5	0.1	3.3	1.5	0.5	0	11.5	8	68.4	6.8	10
1955	23	9.5	10	21.5	11.5	90	1	4	6	0.3	12	27.5	216.3	18	12
1956	8.5	7.5	2	8	3.5	0	0	0	0	8	0	5	42.5	3.5	12
1957	55	6.5	9	8	5.5	3.5	0	3	8.6	16	19.4	6	140.5	11.7	12
1958	10.5	27	17.5	20	27	0	0	0	9	0	17	0	128	10.7	12
1959	0	23.5	0	0	0	0	0	0	0	2.5	0	21.1	47.1	3.9	12
1960	7	14.5	1.5	16	0	0	0	0	14	8.5	23.5	3	88	7.3	12
1961	22.5	2	12	0	0	0	0	5	0	0	16	16.5	74	6.2	12
1962	47	30.5	20	0	5	0	0	4.5	0	0.5	0	6	113.5	9.5	12
1963	9.5	34.5	9	10.5	0	2	0	0	16.5	17	37	3	139	11.6	12
1964	15	7	15.5	6.5	4	0	0	0	0	1.5	21.5	0	71	5.9	12
1965	4	33	25	34.5	0	0	0	0	3	0	55	27.5	182	15.2	12
1966	19	27	4.5	0	0	0	4	0	0	0	29	40	123.5	10.3	12
1967	17	0	0.3	33	0	0	0	4	0	0	24	59	137.3	11.4	12
1968	5	13	13	16	1.5	1.5	12	0	0	1.5	12	14	89.5	7.5	12
1969	43	26	13	0.5	9	1.5	0	7	0	0	18	6	124	10.3	12
1970	4	20	38	5	0	0	6	0	0	2		20	95	8.6	11
1971	8	21	0	14	13	0	0	0	4.5	16	1	15	92.5	7.7	12
1972	0	1.5	0	2	7	5	0	0	4.5	26	24	20	90	7.5	12
1973	13.5	19	28.5	1.5	0	0	0	3	0	0	22	6	93.5	7.8	12
1974	38.5	2	27	0	0	0	1	0	0	26	3	17	114.5	9.5	12
1975	17	16.5	25	28	0.5	2	0	0	1	2	19	8	119	9.9	12
1976	5	63	18	14.5	1	0	0	0	22	4	46	32	205.5	17.1	12
1977	16	2	13	3.5	12.5	0	0	60	0	16.5	8	52.5	184	15.3	12
1978	62	60	59	8.5	0	0	0	0	1.5	1.5	37	26.5	256	21.3	12
1979	37.5	12	32	1.5	2.5	0	0	0	0	9.5	8	7.5	110.5	9.2	12
1980	107	57	22	13.5	5.5	0	0	0	0	5	0	9.5	219.5	18.3	12
1981	16	21	25.5	10.5	5	0	0	0	6	3	16	13	116	9.7	12
1982	25	28.5	41.5	7	0	0	0	1	6.5	4.5	41	30	185	15.4	12
1983	23	39	80	22.5	0	0	0	5.5	40	34	21	20	285	23.8	12
1984	4	0	0.8	7.5	0	0	2	0	0	4	12	42	72.3	6	12
1985	9	10	7	2	0	1	2	0	12	11.5	45.5	20	120	10	12
1986	12.6	28.5	22.5	3.5	0	0	1.5	0	6	6	15	8	103.6	8.6	12
1987	37	33	13	15.5	0	0	1	1	3.5	54	80	40	278	23.2	12
1988	60	38	16	36	3	0	1	0	0	0	7	6	167	13.9	12
1989	6	5	20	1.5	2.5	0	0	0	3	4	0	8	50	4.2	12
1990	20	8	0		5	2.5	0	0	0	0	22	12	69.5	6.3	11
1991	0	91	28	0	0	0	20						139	19.9	7
1993	89	44.5	13	15	6	2	0	0	0	0	11	0	180.5	15	12
1994	13	22	18	10	0	0	0	0	0	3.5	7.7	26	100.2	8.3	12
1995	50.5	61.5	52	22	48	33		0	0	0	0	0	267	24.3	11
1996		21.3	35.3	0	0	0							56.6	11.3	5
1997	0	15.3	0			0	0	0	14.2	0	0	2	31.5	3.1	10
1998	23.6	70.2	37	25						0	12.1	12.8	180.7	25.8	7
1999	0	21	18.2	19.2	0								58.4	11.7	5
2000	0	24	24.3	15	0	0	0	0	0				63.3	7	9
2005										0	0	0	0	0	3
2006	10	4	28	26.5	25.5	7	0					18	119	14.9	8
2007	8	26	4.5	13	2	0	0	0	0	0	54.5	10	118	9.8	12
2008	42.6	24	12	0	12	0	0	3	0	1	28	0	122.6	10.2	12
2009	2	23.5	0	6.5	0	1	0	0	0	0	21.5	0	54.5	4.5	12
2010	75	39	0	0	0	0	0	0	0	47	22	0	183	15.2	12
2011	4	44	37	21	7	0	0	0	0	7	33	24.5	177.5	14.8	12
2012	9.5	15	31	20	0	0	2	0	8.5	3			89	8.9	10
2013	30	30	28	0	10	0	0	3.2	0	13.5	7	14	135.7	11.3	12
2014	2	6.5	21		0	0	0	0	0	0	7	22.5	59	5.4	11
2015	9.5	13.5	67		1.5	0	0	0	11.5	0	8	22.5	133.5	12.1	11
2016	61	36.5	19.5		12.5	0	0	0	17	0	9.5	76.5	232.5	21.1	11
