 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 2077 
 NOMBRE    : LA MISION 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2000	12.9	27	16	9.5	0	5.9	0	0	0	9	2.5	1.5	84.3	7	12
2001	14.7	29	17.2	10.1	0	0	0	0	0	0	11.5	10.7	93.2	7.8	12
2002	7	4.8	10	8	0	0	0	0	15	0	12.5	20	77.3	6.4	12
2003	0	69	48	21.5	6	2	2	0	0	0	14	17	179.5	15	12
2004	4.5	50	13.2	4.5	0	0	0	0	0	80	8.5	69	229.7	19.1	12
2005	36	25.5	10.5	6.9	2.7	0	0	0	0	6.5	0	0	88.1	7.3	12
2006	6.5	6	11.6	22.8	22	0	0	0	0	5.5	2	11	87.4	7.3	12
2007	16.3	23	3	11	0	0	0	0	6	0	1.5	17	77.8	6.5	12
2008	32	26.7	13	0	15.5	0	3.8	0	0	1.5	30	62	184.5	15.4	12
2009	3	27	0	5	0	0	0	0	0	1.3	11	57	104.3	8.7	12
2010	54.5	22	22	14.4	0	0	0	0	0	43.5	17.5	60	233.9	19.5	12
2011	8	65	54	6	7	0	0	0	0	6	43	17.7	206.7	17.2	12
2012	6	18	26.5	22	0	0	0	0	2	5	3	46	128.5	10.7	12
2013	38	10.5	28	2	6.4	0	0	4.5	0	23	9	16	137.4	11.4	12
2014	11	16.1	10	6	0	0	0	0	0	0	7	31	81.1	6.8	12
2015	13.5	20.5	34.5	2	28	0	0	0	3.7	11	7.3	17.5	138	11.5	12
2016	37	0	20	13	17.5	0	0	0	42	1.5	20	43	194	16.2	12
2017	35.5	70.5	2	0	20	0	0	0	0	0	0	2	130	10.8	12
2018	30	10	4	0	0	0	0	0	0	0	26	26	96	8	12
2019	26	36	13	2	2.5	0	0	0	0	0	42.5	26	148	12.3	12
2020	11	25	18	20	0	2	0	0	0	0	5	9.5	90.5	7.5	12
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	77.3	6.4	
MÁXIMA	54.5	70.5	54	22.8	28	5.9	3.8	4.5	42	80	43	69	233.9	19.5	
MEDIA	19.2	27.7	17.8	8.9	6.1	0.5	0.3	0.2	3.3	9.2	13	26.7	132.9	11.1	
DESV.ST	15	20.3	14.1	7.5	8.9	1.4	0.9	1	9.5	19.2	12.8	21.2	52.3	4.4	

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2000	17.92	112.01	28.05	14.41	0	5.9	0	0.01	0.01	23.51	3.52	1.5	206.84	17.2	12
2001	50.11	115.51	29.21	30.01	0	0	0.01	0	0	0	17.32	23.4	265.57	22.1	12
2002	11.01	4.8	20.4	16.22	0	0	0	0	15	0	27.7	48.01	143.14	11.9	12
2003	0.01	157.5	82.71	24.51	10.5	2	2.01	0	0	0	17	23.01	319.25	26.6	12
2004	8.5	103.9	13.2	5.7	0.01	0	0	0	0	174.1	23.3	112.81	441.52	36.8	12
2005	103.8	119.32	26.6	7.91	3.7	0	0	0	0	11.5	0.02	0.01	272.86	22.7	12
2006	9.91	9	62.81	33.11	22	0	0	0	0	5.52	3.01	28.8	174.16	14.5	12
2007	39.01	50.72	7.01	14	0	0	0	0	7	0.02	1.5	21.52	140.78	11.7	12
2008	99.01	48.22	13	0	15.5	0	3.8	0	0	1.5	46.21	150	377.24	31.4	12
2009	3	86	0	5.01	0	0	0	0	0	1.3	15.9	106	217.21	18.1	12
2010	158.2	100.51	43.7	54.32	0	0	0	0	0	56.72	26.71	132.51	572.67	47.7	12
2011	10	140.01	65.5	10	12.51	0.01	0	0	0	6	104	35.7	383.73	32	12
2012	14	50.01	58.5	42.02	0	0	0	0	2.01	11	5	69.71	252.25	21	12
2013	56.4	17.53	44	2.01	10.7	0	0.01	4.5	0	30	10	18.71	193.86	16.2	12
2014	11.05	22.9	10.01	15.56	0	0	0	0.01	0	0	12	95.01	166.54	13.9	12
2015	23.01	22	36.5	3.52	57.02	0.01	0.01	0.01	3.72	12.52	10.61	57.1	226.03	18.8	12
2016	121.01	0	28.51	23.53	17.52	0	0	0	45.01	1.5	37.5	151.31	425.89	35.5	12
2017	101.51	152.01	3	0	23.3	0	0	0.01	0.01	0	0.01	2	281.85	23.5	12
2018	62.01	25.01	13.5	0.01	0.01	0	0	0	0	0.03	31.03	40.5	172.1	14.3	12
2019	60.5	125.5	27.02	3	6.82	0	0	0	0.03	0	115	100.3	438.17	36.5	12
2020	20	33.51	83.24	63.51	0.01	2.01	0	0.01	0	0	6.5	20	228.79	19.1	12
MÍNIMA	0.01	0	0	0	0	0	0	0	0	0	0.01	0.01	140.78	11.7	
MÁXIMA	158.2	157.5	83.24	63.51	57.02	5.9	3.8	4.5	45.01	174.1	115	151.31	572.67	47.7	
MEDIA	46.7	71.2	33.2	17.5	8.6	0.5	0.3	0.2	3.5	16	24.5	58.9	281	23.4	
DESV.ST	45.6	52.8	25	18.2	13.7	1.4	0.9	1	10.2	38.8	31.1	49.7	117.7	9.8	

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2000	12	61.6	65	90	155	168.4	185.6	166	117	89	79.94	90.96	1280.5	106.7	12
2001	73.61	72.2	79.93	113.03	144	155.9	196	187	161	114	74.6		1371.27	124.7	11
2002	95	102.8	123.12	137.24	165	163	196	164	152	107	115.7	50	1570.86	130.9	12
2003	79	62.97	101.9	125.82	136.5	135	161	168	138	120	85	74	1387.19	115.6	12
2004	64.5	85.5	97.2	136.2	185	158	203	171	160	95.2	65.8	78	1499.4	125	12
2005	53.3	66.3	95.1	129.9	163.7	144	187	181	141	96.5	94	73	1424.8	118.7	12
2006	81.9	86	92.8	119.3	148	162	192						882	126	7
2007						175	194	203	161	179	94.5	69.5	1076	153.7	7
2008	82.5	69.2	151	206	170.5	193	186	198	171	190	135.2		1752.4	159.3	11
2009	106	107.5	128	160	171.5	169.5	180.6	198.7	164.5	151.8	116.2	74.5	1728.8	144.1	12
2010	105.4	50.5	94	105.5	152	157	175	172	144	90.7	101.7	79	1426.8	118.9	12
2011	108	113	99	113	168	161	157	138	113	94	87.5	82	1433.5	119.5	12
2012	86	87	121	89	108	93		16.95	118.01	114.04	64	60.7	957.7	87.1	11
2013	82.4	65.5	84	119	137	133	139.16	131.99	109.25	103.65	65.4	88.25	1258.6	104.9	12
2014	88.65	69.9	79.75	119.4	182.3	138.2	142.1	142.65	119.65	85.1	110.7	59.48	1337.88	111.5	12
2015	67.9	81.2	100	109.8	106.7	103.4	118.2	104.75	108.2	109.9	73.3	54.7	1138.05	94.8	12
2016	40	91.1	69.3	112.7	98.1	115.6	89.4						616.2	88	7
MÍNIMA	12	50.5	65	89	98.1	93	89.4	16.95	108.2	85.1	64	50	616.2	87.1	
MÁXIMA	108	113	151	206	185	193	203	203	171	190	135.2	90.96	1752.4	159.3	
MEDIA	76.6	79.5	98.8	124.1	149.5	148.5	168.9	156.2	138.5	116	90.9	71.9	1302.5	119.4	
DESV.ST	25.4	17.8	22.7	28	26.6	26.3	32.2	47.2	22.5	32.3	21.5	12.6	296.1	20.5	

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
2000	30	29	27	27	27	33	28	34	32	25	26	28	346	28.8	12
2001	29	32	29	30	27	29	32	31	34	34	26	30	363	30.2	12
2002	28	28	27	28	27	26	29	30	34	30	36	23	346	28.8	12
2003	35	26	34	31	24	25	34	33	33	36	29	25	365	30.4	12
2004	28	27	35	39	39	25	35	29	38	27	27	27	376	31.3	12
2005	31	27	26	31	27	25	34	36	31	33	34	27	362	30.2	12
2006	34	27	23	28	26	39	35	31	33	34	36	29	375	31.2	12
2007	32	31	32	25	34	29	29	35	35	38	33	28	381	31.8	12
2008	28	30	33	37	39	35	29	32	36	38	39	26	402	33.5	12
