 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 2118 
 NOMBRE    : VALLE DE SAN RAFAEL 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1979											13	12	25	12.5	2
1980	66.3	34	20	3	3	0	2	6	0	1.3	0	7.8	143.4	11.9	12
1981	25	22.1	18.2	11.5	0	0	8.5	0	11	2.5	13.8	4	116.6	9.7	12
1982	15	30	23.2	8.2	1.3	0		12	3	2.2	35	19.4	149.3	13.6	11
1983	16.5	25.5	39.5	10.6	1.1	0	0	48	21.5	9.7	16.5	17.3	206.2	17.2	12
1984	9.8	0.6	0.8	8.1	0	0	22.8	10.1	3	0.1	6.1	36	97.4	8.1	12
1985	5.5	8.5	6.5	3.5	0	0	2.5	0	9.5	16.1	25.5	13.2	90.8	7.6	12
1986	3.7	12.5	32	1.8	0	0	2.7	3	5.4	5		7.5	73.6	6.7	11
1987	23	29.5	9.7	11	4.8	0	0	18.5	5.8	16.5	13	23.5	155.3	12.9	12
1988	57	13	15.3	19.5	1.2	0	16	11.3	0	0.4	6.2	10.5	150.4	12.5	12
1989					1.8		0					0	1.8	0.6	3
1991	13.5	56.4	29	2	0	0	20	3.5	10.6	20	0	27	182	15.2	12
1992	31.3	33.5	33.5	2.7	7.6	0	0	11	0	8.5	3.1	30	161.2	13.4	12
1993	52.8	48	15.6	0	0	5.6	0	16.7	0	5.2	16.5	9.7	170.1	14.2	12
1994	9.2	40	17.2	10.2	0	0	3	4.3	0	0	18.4	31	133.3	11.1	12
1995	57	14.5	45.5	22.7	17.5	7.2	0	4.5	29	0	0	3.5	201.4	16.8	12
1996	22.9	26.7	17.6	0	0	0	2.3	8.5	0	7.3	6.3	6	97.6	8.1	12
1997	27	13.5	6.5	12	0	8	0	1	14.6	0	13	44.6	140.2	11.7	12
1998	11.4	46	38.7	16.7	7.4	0	0	3.7	1	0	5.2	13.2	143.3	11.9	12
1999	11.9	20.6	15.6		0	0	37.9	0	0	0	0	3.5	89.5	8.1	11
2000	11.2	32.8	25.2	4	0	15	0	6.4	0	14.4	6.7	3.2	118.9	9.9	12
2001	29.6	26.3	11.3	8.3	0	0	11.4	0	0	0	0		86.9	7.9	11
2002	4.2	0	10.4	4.2	15	0	9.5	0	0	1.5	6.4		51.2	4.7	11
2003	4	27.2	31.4	15.2	1.2	0	0	19.2	0	0	11.5	1.5	111.2	9.3	12
2004	5.2	47.3	7.4	4.7	0	0	0	0	0	63.7	14.3	24.2	166.8	13.9	12
2005	34.2	20.2	8.4	2.1	4.7	0	7.6	21.2	0	6.7	0	0	105.1	8.8	12
2006	3.2	1.7	25.7	8.5	13.2	0	4.9	0	0	0	0	6.4	63.6	5.3	12
2007	6.7	7.3	2	0	4.2	0	0	4	15	0	41	8.2	88.4	7.4	12
2008	27.5	16.7	14.5	1	5	0	0	7	0	0.5	10.4	0	82.6	6.9	12
2009	1	19.6	0	7.2	0	0	0	0	0	0	12.7	33.7	74.2	6.2	12
2010	89.2	25.8	14.2	20	0	0	0		7.5	49	9	22	236.7	21.5	11
2011	4.5	59	13.8	9.5	3.5	0	10	0	0	9	21	29.7	160	13.3	12
2012	4.2	17.3	22	13.5	0	0	0	11	5	2.5			75.5	7.6	10
2013	40.5	14.2	23.9	1	2.3	0	7	31.2	8.7	10.4	6	13	158.2	13.2	12
2014	0	33	8.4		0	0	7	14.7	19	10.5	1.5	11.5	105.6	9.6	11
2015	9.7	5.2	24	3	8	10	26.5	0	2	3.5	18.2	6	116.1	9.7	12
2016	28.5	0	15.2	21.2	4	0	9.2	0	11	0	9.5	31.5	130.1	10.8	12
2017	37.2	30.7	5.2	0	6.5	0	0.5	44.2	2	0	7.2	0	133.5	11.1	12
2018	21.6	8.6	15.2	0	2.3	0	0	8	4.7	3.2	11.2	22.5	97.3	8.1	12
2019	13.4	27.2	2.1	1.6	12.2	0	4.3	0	16.7	0	35.8	0	113.3	9.4	12
2020	10.1	9.5	56.5	17.6	0	0	0	0	0	2.2	6.3	9.5	111.7	9.3	12
2021												0	0	0	1
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MÁXIMA	89.2	59	56.5	22.7	17.5	15	37.9	48	29	63.7	41	44.6	236.7	21.5	
MEDIA	21.7	23.2	18.5	7.7	3.2	1.2	5.5	8.7	5.3	7	11.1	13.9	117	10.2	
DESV.ST	20.3	15.2	12.8	6.8	4.6	3.3	8.6	11.6	7.3	12.9	10.2	12.1	50.5	4.1	

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1979											13	18	31	15.5	2
1980	153.3	191.6	69.5	6.5	6	0	2	6	0	1.6	0	7.8	444.3	37	12
1981	30.8	38.1	64.9	21.5	0	0	8.5	0	16.5	2.5	30.1	4	216.9	18.1	12
1982	73.5	39.9	88.9	8.2	1.3	0		19.5	7	2.2	91.9	72.9	405.3	36.8	11
1983	35.4	83.7	140.6	46.3	1.1	0	0	101.9	45.2	9.7	38.1	42.7	544.7	45.4	12
1984	17.3	0.6	0.8	11.5	0	0	38.5	12	3	0.1	17.3	96.5	197.6	16.5	12
1985	16.9	27.8	14.7	4.2	0	0	3.8	0	10.1	23.4	56.8	16.9	174.6	14.5	12
1986	7.8	41.3	78.6	2.9	0	0	3.2	5.8	7.5	6		20.5	173.6	15.8	11
1987	28.5	77.1	24.5	11.2	9.6	0	0	18.7	5.8	74.8	28.6	50.2	329	27.4	12
1988	62.8	15.3	15.3	65.6	1.8	0	29.5	21.9	0	0.4	8.4	19.5	240.5	20	12
1989					3.6		0					0	3.6	1.2	3
1991	36.83	89.4	146.7	2	0	0	39.8	3.5	18.3	20	0	48.6	405.13	33.8	12
1992	39.8	80	139.9	2.7	13	0	0	18.9	0	18.4	3.1	101.1	416.9	34.7	12
1993	237.5	144.5	34.4	0	0	5.6	0	16.7	0	7.5	27.3	14.4	487.9	40.7	12
1994	23.4	97.5	54.2	20.1	0	0	3	4.3	0	0	41.6	37	281.1	23.4	12
1995	150.09	25.6	83.1	32.7	26	11	0	4.5	49.9	0	0	9.3	392.19	32.7	12
1996	51.9	44.2	41.4	0	0	0	2.3	17.6	0	12.5	7.7	10	187.6	15.6	12
1997	62.4	22.1	6.5	21.1	0	8	0	1	37.5	0	28.1	92.8	279.5	23.3	12
1998	22.2	158.9	102.2	42.1	9.1	0	0	7.1	1	0	9.5	17.7	369.8	30.8	12
1999	24.4	22	22.9		0	0	46.7	0	0	0	0	3.5	119.5	10.9	11
2000	11.7	59	36.2	4	0	15	0	6.4	0	15.7	8.7	3.2	159.9	13.3	12
2001	72.6	89.5	35.4	30.5	0	0	11.4	0	0	0	0		239.4	21.8	11
2002	5.2	0	15.7	4.2	157	0	9.5	0	0	1.5	10.6		203.7	18.5	11
2003	4	81.6	44.1	17.8	1.2	0	0	36.7	0	0	15.8	2.7	203.9	17	12
2004	7.6	70.3	8.9	9.9	0	0	0	0	0	118.1	24.9	42.4	282.1	23.5	12
2005	76.6	65	25.4	2.1	4.7	0	7.6	28.8	0	6.7	0	0	216.9	18.1	12
2006	3.2	3.2	56	11.4	13.2	0	8.1	0	0	0	0	15.2	110.3	9.2	12
2007	15.2	21.2	2	0	4.2	0	0	8.5	23	0	55.5	23	152.6	12.7	12
2008	89.6	45.8	22.8	1	5	0	0	14.5	0	0.5	24.6	0	203.8	17	12
2009	1	71	0	7.2	0	0	0	0	0	0	14.2	50.5	143.9	12	12
2010	199	81.4	37.1	39.7	0	0	0		7.5	72.5	9	62	508.2	46.2	11
2011	8.5	104	20.5	21.3	7	0	13.5	0	0	9	47.5	43.1	274.4	22.9	12
2012	7.5	42.7	35	25.8	0	0	0	42	9.5	2.5			165	16.5	10
2013	59.9	27.5	37.1	1	4.3	0	7	34.2	20.7	12.4	10.5	22	236.6	19.7	12
2014	0	46.2	8.4		0	0	7.5	20.7	27	12	2.5	62	186.3	16.9	11
2015	11.2	6.7	30.9	4	20.3	10	30.5	0	3	8	36.2	23.5	184.3	15.4	12
2016	97.4	0	32.2	47.3	6	0	9.2	0	27	0	21.5	87.4	328	27.3	12
2017	114.1	58.5	5.2	0	12.9	0	0.5	48.2	2	0	7.2	0	248.6	20.7	12
2018	21.6	13.1	20.9	0	2.3	0	0	22.5	4.7	3.7	13.9	59.2	161.9	13.5	12
2019	30.4	128.03	6	1.6	28.6	0	6.5	0	24.4	0	95.6	0	321.13	26.8	12
2020	11.9	17.4	118.8	39	0	0	0	0	0	2.2	10.8	11.8	211.9	17.7	12
2021												0	0	0	1
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MÁXIMA	237.5	191.6	146.7	65.6	157	15	46.7	101.9	49.9	118.1	95.6	101.1	544.7	46.2	
MEDIA	49.3	57.2	44.3	15.3	8.5	1.3	7.4	13.7	9	11.4	21.3	30.5	248.7	21.4	
DESV.ST	55.9	45.5	40.5	17	25.1	3.5	12.3	19.7	13.4	24.1	23.4	30.1	127.6	10.4	

EVAPORACIÓN MENSUAL
