 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 2164 
 NOMBRE    : EJIDO EL PORVENIR 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1999					0	0	0	0	0	0	0	0	0	0	8
2000	4	21	18.1	10	0	6	0	0	2.5	18	8.5	2.5	90.6	7.6	12
2001	28	23	16	13	0	0	1.5	1.5	0	0	0	6	89	7.4	12
2002	6	3	13	4	0	0	0	0	12	1	14.5	21	74.5	6.2	12
2003	3	0	21	24.5	5	2	5	2	0	0	8	20	90.5	7.5	12
2004	8.5	91	18.5	10	0	0	0	0	0	125	13	30	296	24.7	12
2005	13.5	26.5	11	4.5	2	0	0	0	0.1	0.9	0	0	58.5	4.9	12
2006	8.5	7	24	20.5	15.5	1.5	6.5	0	0	4.5	3	11	102	8.5	12
2007	6	15	3	8	0	0	0	0	5	0	45	11	93	7.8	12
2008	34	27	14	0	12	0	0	2	0	1	26		116	10.5	11
2009	4	30	0	11	0	0	0	0	0	0	20	53	118	9.8	12
2010	74	46	19	22	0	0	8	2	13	38	27.5	1.5	251	20.9	12
2011	8	40	40	15	11	0	0	0	0	13	35	22	184	15.3	12
2012	8	26	44	20	0	0	0	0	18	3			119	11.9	10
2013	49	24	35	4	6	0	0	0	0	22	3	13	156	13	12
2014	6.5	13.5	22	8	0	0	0	0	0	0	3	20	73	6.1	12
2015	13	16	24		25	0	0	0	0	5	11.5	28	122.5	11.1	11
2016	37	23	20		12	0	10	0	21	1.1	16	53	193.1	17.6	11
2017	54	63	9		16	0	0	1	2				145	18.1	8
2018	30	7.5	7		0	0	0	0	0				44.5	5.6	8
2020	10	18	24.5										52.5	17.5	3
2023	37	38	38	0	0	0	0	38	0	0	17	0	168	14	12
2024	29												29	29	1
MÍNIMA	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
MÁXIMA	74	91	44	24.5	25	6	10	38	21	125	45	53	296	29	
MEDIA	21.4	26.6	20.1	10.9	5	0.5	1.5	2.2	3.5	12.2	13.9	17.2	115.9	12	
DESV.ST	19.5	20.9	11.7	7.7	7.3	1.4	3.1	8.2	6.5	29.1	12.8	16.7	69.5	6.9	

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1999					0	0	0	0	0	0	0	0	0	0	8
2000	6	88.4	46.1	12.5	0	9	0	0	2.51	48.5	11.5	2.5	227.01	18.9	12
2001	95	92.3	32	45.5	0	0	1.5	1.5	0	0	0	9	276.8	23.1	12
2002	6.8	3	33.5	13.5	0	0	0	0	12	1	26.5	52.5	148.8	12.4	12
2003	3	0	46	29.5	8	2	7.5	2	0	0	14	34.5	146.5	12.2	12
2004	17	182	37	20	0	0	0	0	0	312	36	70.6	674.6	56.2	12
2005	69.2	114.5	34	6	3	0	0	0	0.1	0.9	0	0	227.7	19	12
2006	13.5	19	88	35.5	15.5	1.5	6.5	0	0	6	3	26	214.5	17.9	12
2007	13.5	47.6	6.5	9	0	0	0	0	7	0	47.5	23.5	154.6	12.9	12
2008	127.5	47	14	0	12	0	0	2	0	1	47		250.5	22.8	11
2009	5.5	97	0	11	0	0	0	0	0	0	21	107.5	242	20.2	12
2010	193.5	121.5	37.5	58.5	0	0	8	2	13	46.5	36	1.5	518	43.2	12
2011	8	62	43	15	14	0	0	0	0	13	89	35.5	279.5	23.3	12
2012	11	62.5	58.5	54	0	0	0	0	18	7.3			211.3	21.1	10
2013	71.5	39	55.5	5.5	10.5	0	0	0	0	39	4	20	245	20.4	12
2014	6.5	19	42.5	8	0	0	0	0	0	0	3	73	152	12.7	12
2015	27	25.5	38		52.5	0	0	0	0	5	23.5	59.5	231	21	11
2016	93	32	30		18.5	0	10	0	25.5	1.1	27	151.5	388.6	35.3	11
2017	169	126	9		19	0	0	1	2				326	40.8	8
2018	56	25	22		0	0	0	0	0				103	12.9	8
2020	18.5	30	127										175.5	58.5	3
2023	150.51	118.2	90.01	0	0	0	0	44	0	0	46	0.01	448.73	37.4	12
2024	50												50	50	1
MÍNIMA	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
MÁXIMA	193.5	182	127	58.5	52.5	9	10	44	25.5	312	89	151.5	674.6	58.5	
MEDIA	55.1	64.4	42.4	20.2	7.3	0.6	1.6	2.5	3.8	25.3	24.2	39.2	247.5	25.7	
DESV.ST	59.2	48.6	29.9	18.8	12.5	2	3.3	9.5	7.2	71.3	23.5	42.7	149.5	15.3	

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1999					150.2	199	229	229	218.5	169	169	87.1	1450.8	181.3	8
2000	89.4	91.6	109.1	163.5	194.95	221.7	214	239.9	184	98.2	63.9	92.5	1762.75	146.9	12
2001	67	69.5	101.5	109	171.5	208.4	209	209	210.62	191.9	130	66	1743.42	145.3	12
2002	85.7	115	119.5	109.5	214.5	216	240	157	183	123	109	64.5	1736.7	144.7	12
2003	93	96	104	124.5	159	165	185	222	166	153	76	74.5	1618	134.8	12
2004	65.5	96.5	130	154	217	189	243	205	197	113	62	78.6	1750.6	145.9	12
2005	88.2	94.6	96	128	143	184	85				47	72	937.8	104.2	9
2006	82	104.5	105.5	94.5	176.5	194.5	227.5	211	187	127	98	89	1697	141.4	12
2007	91.34	82.6	136.5	133	185	215	218	213	167	161	87.5	55.5	1745.44	145.5	12
2008	82.5	78	128	176	204	242	82	217	192	178	121		1700.5	154.6	11
2009	92.5	78	113	147	182	184	284	220	223	161	106	71.5	1862	155.2	12
2010	71	73.9	119	76.5	200	189	226	212	214	106	101.5	45.5	1634.4	136.2	12
MÍNIMA	65.5	69.5	96	76.5	143	165	82	157	166	98.2	47	45.5	937.8	104.2	
MÁXIMA	93	115	136.5	176	217	242	284	239.9	223	191.9	169	92.5	1862	181.3	
MEDIA	82.6	89.1	114.7	128.7	183.1	200.6	203.5	212.3	194.7	143.7	97.6	72.4	1636.6	144.7	
DESV.ST	10.2	14	13	30.2	24.2	20.9	60.8	20.8	19.8	31.6	33.6	14.3	241.9	17.5	

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1999					32	36	37	37	40	35	39	33	289	36.1	8
2000	33	30	30	34	38	38	38	41	41	32	30	30	415	34.6	12
2001	29	32	31	30	34	37	39	39	38	42	36	31	418	34.8	12
2002	31	36	31	32	37	35	37	43	45	38	35	26	426	35.5	12
2003	33	29	32	31	37	39	40	42	42	41	31	29	426	35.5	12
2004	30	29	35	39	40	32	38	39	40	38	25	30	415	34.6	12
2005	29	23	26	30	36	33	39	42	39	37	39	32	405	33.8	12
2006	33	31	28	30	32	41	44	41	40	34	36	30	420	35	12
2007	30	35	36	33	37	39	42	42	43	39	34	32	442	36.8	12
2008	24	28	32	37	39	44	36	38	43	39	34		394	35.8	11
2009	27	17	30	23	24	36	39	43	41	37	33	27	377	31.4	12
2010	28	27	29	26	31	33	41	41	42	35	37	32	402	33.5	12
2011	30	34	28	27	28	32	30	41	37	29	26	30	372	31	12
2012	36	34	31	28	30	32	35	39	36	36			337	33.7	10
2013	24	26	30	30	37	37		38	37	32	30	25	346	31.5	11
2014	28	28	30	33	37	32	38	37	39	34	30	25	391	32.6	12
2015	27	29	32		34	36	34	40	38	35	30	21	356	32.4	11
2016	23	27	27		28	40	43	41	33	33	31	24	350	31.8	11
2017	26	27	30		32	39	34	35	32				255	31.9	8
2018	25	27	30		27	35	36	38	37				255	31.9	8
2020	24	28	26										78	26	3
2023	20	25	22	30	26	30	36	38	38	35	29	24	353	29.4	12
2024	24												24	24	1
MÍNIMA	20	17	22	23	24	30	30	35	32	29	25	21	24	24	
MÁXIMA	36	36	36	39	40	44	44	43	45	42	39	33	442	36.8	
MEDIA	27.9	28.7	29.8	30.8	33.1	36	37.8	39.8	39.1	35.8	32.5	28.3	345.5	32.8	
DESV.ST	4	4.3	3.1	4	4.7	3.6	3.3	2.2	3.2	3.3	4.1	3.5	106.7	3.1	

