 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 22004 
 NOMBRE    : EL BATAN 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1965						25.9	57	35	76			6.5	200.4	40.1	5
1966	19	10	14	11	10	20	43	45	12.5	16	0	0.5	201	16.8	12
1967	9	0.5	10	9	8	4	20.2	49.5	30	48.2	0	2	190.4	15.9	12
1968	0	15.4	15.4	64.1	42.5	26	21	35.7	20	16	4.3	1.6	262	21.8	12
1969	4	7.3	5.8	0	4.1	65.7	18	36.3	5	9.4	5.2	1.7	162.5	13.5	12
1970	0	3.1	0	0	6.2	31.2	27.2	23.2	46.4	9.3	6.2	0	152.8	12.7	12
1971	1.4	0	4.8	2.5	31.2	32.5	28.3	46	45.5	24.2	4.8	1.3	222.5	18.5	12
1972	1.3	0	1.2	3.7	30.4	21.2	30.8	24	44.2	29.2	14.7	8.5	209.2	17.4	12
1973	0	2.4	1.5	16.8	28.7	34.8	61.7	32.5	34.1	30.2	3.8	0	246.5	20.5	12
1974	2.8	1.4	4.2	12.2	7.4	34.6	56.4	23	43.5	5.7	7.5	8.2	206.9	17.2	12
1975	33.8	1.7	0	0	7.4	38.5	29.7	25.5	11.3	5.4	0	0	153.3	12.8	12
1976	0	0	4.4	4.3	21.4	23.2	44.9	33.4	54.6	18.7	19.5	8.4	232.8	19.4	12
1977	0	2.9	1.3	13.6	24.7	25.1	19.8	28.1	37	14.7	1.7	9.2	178.1	14.8	12
1978	21.1	9.7	17.2	0	17.1	15.1	23.5	22.7	21.1	26	4.2	6.7	184.4	15.4	12
1979	0	16.4	0	6.8	16.8	10.4	21.4	57.4	46.8	0	0	16.5	192.5	16	12
1980	32.4	0	0	4.5	11.5	22.6	40.4	28.3	34.4	16.2	8.5	2.5	201.3	16.8	12
1981	18.9	45.4	4.5	25.5	18.3	27.2	13.2	57.4	24.2	27.2	0	5.7	267.5	22.3	12
1982	0	4.2	0	26.5	22.6	38.5	33.2	18.7	26.2	16.5	1.5	7.2	195.1	16.3	12
1983	12.5	3.4	19.3	0	15	16.5	55.8	41.5	22.6	27.2	32.3	0	246.1	20.5	12
1984	13.5	6.4	1.8	0	12.5	19.4	70.5	22.8	22.3	20.6	1.7	27.3	218.8	18.2	12
1985	0	0	7.6	10.5	23.8	41.5	29.3	34.7	24.3	60.8	3.7	13.3	249.5	20.8	12
1986	0	1.3	0	14	49.3	61.8	64.8	17.5	54.5	46.7		6.3	316.2	28.7	11
1987	0	0	1.8	15.7	9.2	46.2	41.2	26.8	14.5	0	11.8	0	167.2	13.9	12
1988	4.3	0	9.5	16.2	19.3	46.5	42.3	21.5	14.3	0	6.2	0	180.1	15	12
1989	0	7.5	0	6.5	30.3	34.8	50.8	70.9	90.6	15.5	9.5	19.5	335.9	28	12
1990	0	12.5	0	35	20	35.7	42.8		54.5	27	30.5	0	258	23.5	11
1991	0	0	0	0	0	74.2	74.3	18	25.2	12.5	14.2	14.1	232.5	19.4	12
1992	20.7	21.2	8	8.6	18.3	16.9	20	62.8	66.4	18.2	15.4	0	276.5	23	12
1993	3.4	4	4.5	12.6	6.3	61.2	43.2	24.8	33.6	5	14.5	0	213.1	17.8	12
1994	8.2	0	3	21.8	35.6	26.5	18.3	37.5	27.3	30.4	0	0	208.6	17.4	12
1995	3.6	2.3	0	5.3	32.7	55.2	18.3	60.3	57.8	7.4	13.5	12.8	269.2	22.4	12
1996	0	0	2.8	0	18.6	48.6	26.6	25.3	58.8	11.6	0	0	192.3	16	12
1997	0	0	30.3	21.7	13.4	24.6	34.8	26.8	3.6	19.7	4.8	0	179.7	15	12
1998	0	13.6	0	0	4.5	22.3	18.6	40	61.5	36.8	28.6	0	225.9	18.8	12
1999	0	0	0	3	2	19.3	36.3	22	14.7	28.6	0	3.2	129.1	10.8	12
2000	0	0	0	0	11.5	19.2	22.7	23.7	19.7	22.8	11.3	2.5	133.4	11.1	12
2001	5.5	7.5	5.8	3.6	5.6	66.8	52.7	79.7	52.8	21.8	2.8	2.5	307.1	25.6	12
2002	21.3	13.5	0	27.3	7.4	37.7	53.6	19.4	42.6	36	9.5	0	268.3	22.4	12
2003	6.8	0	0	0	12.5	76.8	35.8	45.7	96.7	31.5	0	0	305.8	25.5	12
2004	11.3	0	12.7	5.4	45.7	79.6	59.6	32	42.4	22.6	0	1.7	313	26.1	12
2005	5.5	8.4	6.5	4.7	5.4	1.6	28.7	48.6	24.8	12.6	0	0	146.8	12.2	12
2006	20.7	0	7	6.8	35.5	18.7	21.6	28.5	132.5	98.6	13.6	2	385.5	32.1	12
2007	9.4	13.7	0	11.6	15.5	37.5	62.6	44	45.5	12.5	13.5	3	268.8	22.4	12
2008	0	0	0	0	17	28	34.8	31.6	57.4	0	0	0	168.8	14.1	12
2009	8.6	0	2.8	0	16	34.5	28.7	16	33.4	30.8	0	6	176.8	14.7	12
2010	17.6	62.7	0	10.5	9.8	11.5	28.6	49.4	42.7	0	0	0	232.8	19.4	12
2011	0	0	0	0	7	38.7	21.6	16.4	56.7	12.7	0	11	164.1	13.7	12
2012	11.4	15.3	8	3	13.6	44.7	48.4	46.8	56	16.7	21.5	3.5	288.9	24.1	12
2013	1.3	9	5	6.5	22	53	30	14	27.5	14	33	16.5	231.8	19.3	12
2014	0	0	0	13.7	17	27.5	20	30	11.5	41.5	2.1	0	163.3	13.6	12
2015	0	8.5	82	20	23	55	28	27	24	27.5	10	7.5	312.5	26	12
2016	2	0	17.5	2	14.5	22	27	42	20	9	8	0	164	13.7	12
2017	0	7	6.5	0	20	29	47	44	75	3	0	0	231.5	19.3	12
2018	0	2.5	0	5	26	29	37	52	26	19	12	0	208.5	17.4	12
2019	0	0	2	0	6	42	47	20	43	13	0	14	187	15.6	12
2020	5	19	28	7	5	22	36	28	23	17	0		190	17.3	11
MÍNIMA	0	0	0	0	0	1.6	13.2	14	3.6	0	0	0	129.1	10.8	
MÁXIMA	33.8	62.7	82	64.1	49.3	79.6	74.3	79.7	132.5	98.6	33	27.3	385.5	40.1	
MEDIA	6.1	6.5	6.5	9.1	17.4	34.3	36.6	34.8	39.5	20.8	7.5	4.6	221.5	19	
DESV.ST	8.6	11.1	12.5	11.4	11.2	17.9	15.3	14.7	24.1	16.8	8.9	6.1	55.4	5.5	

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1965						30.5	133.6	139.9	190.6			11.5	506.1	101.2	5
1966	37	10	27	17	28	90	167.8	183.9	23	75.1	0	0.7	659.5	55	12
1967	40	0.7	30	22	21	18	31.4	233.32	189.4	106	0	2	693.82	57.8	12
1968	0	21.1	24.9	95.92	42.5	126.5	52.7	84.9	82.3	16.8	11.4	3.5	562.52	46.9	12
1969	5.13	9.8	5.8	0	6.9	164.1	105	139.9	8.2	16.2	5.2	2.9	469.13	39.1	12
1970	0	5.4	0	0	9.4	172	139	106.6	130.4	12.3	7.4	0	582.5	48.5	12
1971	1.4	0	7.1	2.5	75	235.2	61	240	254.1	47.8	4.8	1.3	930.2	77.5	12
1972	1.3	0	1.2	4.9	79.1	82.6	93.1	59.3	86.7	47.3	30.8	8.5	494.8	41.2	12
1973	0	2.4	1.5	24.2	59.2	205.9	270.5	114.7	117.3	51.8	3.8	0	851.3	70.9	12
1974	4.6	2.6	7.3	27.1	7.4	98.1	230.9	70.1	104.5	5.7	12.2	14.6	585.1	48.8	12
1975	47.2	1.7	0	0	34.9	236.85	150	135.1	46.3	9.4	0	0	661.45	55.1	12
1976	0	0	6.8	9.3	74.8	37.4	288.6	121.8	168.8	55.6	26	18.3	807.4	67.3	12
1977	0	3.9	1.3	49.2	51.3	115.1	70.8	125.1	118.1	47.6	2.8	9.2	594.4	49.5	12
1978	21.11	19.22	32.7	0	32.7	45.7	117.8	103.1	75.4	119.6	4.2	7	578.53	48.2	12
