 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 22046 
 NOMBRE    : NOGALES 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980		3	0	5.5	12	24.8	31	48.7	7	25.3	13.1	0	170.4	15.5	11
1981	14	6.5	2.9	41.5	12.7	40.3	39.3	10.4	9.2	17.4	0	4.5	198.7	16.6	12
1982	0	5	1.7	7.4	11	7.8	18	30.4	0.7	48.7	0.7	9.1	140.5	11.7	12
1983	12.4	1.6	12	0	14.1	24.4	33.1	33.7	56.3	19.2	11.4	0.3	218.5	18.2	12
1984	5.8	9.7	2.2	0	10.6	21.8	33.8	46.5	34.3	0.5	6.1	1.4	172.7	14.4	12
1985	4.1	2.5	4.5	15.5	40	38.2	51.8	43.4	39.4	6.5	1.8	4.3	252	21	12
1986	0.1	1.6	0	0	5.3	36.7	25.4	40	54.4	33.6	12.9	11.8	221.8	18.5	12
1987	0	0.6	3.9	0	9.4	33.4	37.7	20	9.1	0	8.5	0.5	123.1	10.3	12
1988	4.4	0	15.5	10.5	4.9	13.4	27.9	30.6	9.2	8.7	3.4	0	128.5	10.7	12
1989	0	6.4	0	1.5	20	12.3	13.2	32.5	14.3	0	0	8.7	108.9	9.1	12
1990	0	9.7	8.5	22.2	15.9	18.8	25.9	36.9	25.1	20	1	2.7	186.7	15.6	12
1991	0	0	0		4.7	38.9	49.6	8.9					102.1	14.6	7
1992	15.9	0	5.8	0	0								21.7	4.3	5
1994	4.8	0	15.6										20.4	6.8	3
1995		0	0	11.8	52.8	10.5	17.1	3.9	0	0.1	0	0.1	96.3	8.8	11
1996	0	0	0	2.6	1.5	58.3	5.8	81.4	21.5	24.3	0	1.3	196.7	16.4	12
1997	3.2						29.2	14.9	11.2	0	7.8	7.8	74.1	10.6	7
1998	0	0	0	1.2	25.8	18.7	10.8	5	0	0	0	0	61.5	5.1	12
1999	0	0	0	0	0	0	48	0	0	0	0	0	48	4	12
2000	0	0	0	4.3	16.7	40	16.7	16.2	28.7	6.3	0	0	128.9	10.7	12
2001	0.5	0	0	8.9	28.3	49.6	14.6	28	9.3	0	0	0	139.2	11.6	12
2002	0	0	0	0	32.8	15.1	40	32.9	15	19.8	3.5	0	159.1	13.3	12
2003	0	0	0	6.5	5.8	22.7	22.1						57.1	8.2	7
2004			15.4	0	18	45.3	40.8	18.9	17	7.6	0	0	163	16.3	10
2005	0	0	0	0	0	0	5.6	42.8	0	0	0	0	48.4	4	12
2007	0	0	0	0									0	0	4
2010						63.3							63.3	63.3	1
2015	0	0	0	0	17.3	3.1	0	22.3	30.8	15.9	0	0	89.4	7.4	12
2016	0	0	0	0	17.3	41.9	14.3	47.3	0	15.9	0	0	136.7	11.4	12
2017	0	145.6	0	0	0	6.8	26.3	28.2	23	2	0	0	231.9	19.3	12
2018	0	0	0	3.8	8.9	47.2	14.3	21.9	46.1	55.4	19.1	0	216.7	18.1	12
2019	0	0	1	0	1.1	41.9	8.9	47.3	40.6	15.9	0.8	0	157.5	13.1	12
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MÁXIMA	15.9	145.6	15.6	41.5	52.8	63.3	51.8	81.4	56.3	55.4	19.1	11.8	252	63.3	
MEDIA	2.3	6.6	3	5.1	13.8	27.7	25	29.4	19.3	13.2	3.5	2	129.2	13.4	
DESV.ST	4.5	26.9	5.1	9.1	12.8	17.8	14.1	17.7	17.4	15.1	5.4	3.5	68	10.5	

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1980		8.1	0	8.6	36.8	59.7	63	139.7	20.8	45.8	13.7	0	396.2	36	11
1981	44.2	8.1	9.4	96.8	40.4	109.7	149.5	30.5	14.3	75.2	0	6.5	584.6	48.7	12
1982	0	5.1	1.9	22.3	58.1	8.8	30.9	71	0.8	130.4	0.7	19.7	349.7	29.1	12
1983	31.6	2.8	16.1	0	30.1	51	134.3	87.8	113	33.5	23.9	0.3	524.4	43.7	12
1984	18.5	21.8	2.2	0.01	39.3	85.7	137.4	103.7	75.6	0.5	6.1	2.1	492.91	41.1	12
1985	4.1	2.5	7	37.3	81	115.5	154.32	84.6	68.6	12.5	3.9	4.4	575.72	48	12
1986	0.1	1.6	0	0	11.9	219.1	68.93	74.5	83.6	77.1	16.2	14.3	567.33	47.3	12
1987	0	0.7	5	0	17.83	136.71	142.92	33.1	17.9	0	13.8	0.5	368.46	30.7	12
1988	5.6	0	17.61	11.81	12.72	30.01	115	119.42	17.6	8.7	3.4	0	341.87	28.5	12
1989	0	9.1	0	1.51	30.3	49.3	45.51	144.72	17.71	0	0	19.01	317.16	26.4	12
1990	0.02	18.72	10.61	24.1	30.41	54.02	159.22	57.93	101.92	52.32	1	2.7	512.97	42.7	12
1991	0	0.01	0		9.54	91.34	173.52	22.22					296.63	42.4	7
1992	48.32	0	9.8	0	0								58.12	11.6	5
1994	4.8	0	23.02										27.82	9.3	3
1995		0	0.01	23.03	65.22	12.11	65.84	12.05	0	0.11	0	0.11	178.48	16.2	11
1996	0	0	0	2.63	1.53	106.5	20.3	144.5	33.8	40.4	0	1.3	350.96	29.2	12
1997	3.2						47.1	19.4	11.2	0	10.31	10.3	101.51	14.5	7
1998	0	0	0	1.2	25.8	38	44.9	5	0	0	0	0	114.9	9.6	12
1999	0	0	0	0	0	0	94	0	0	0	0	0	94	7.8	12
