 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 22058 
 NOMBRE    : SANTA TERESA 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	0	1	0	7	20	8	17	28	8	14	0	6	109	9.1	12
1983	7	0	20	0	13	71	24	65	6.5	16	24	0	246.5	20.5	12
1984	0	5	0	0	17	20	45.1	19		8	0	0	114.1	10.4	11
1985	0	0	0	18	36	33	94	40	7	16	0	5	249	20.8	12
1986	0	0	0	9	7	47	33	26	47	50	18	14	251	20.9	12
1987	0	0	3	5	5	4.4	42		20	0	12	0	91.4	8.3	11
1988	6	0	3	2	0	36	39	58	19	0	0	0	163	13.6	12
1989	0	4	0	7	28	31	30	31	18	0	0	0	149	12.4	12
1990	0	0	6	4		0	23	34	17	18	0	0	102	9.3	11
1991	0	0	0	0	5.7	20	90	33.5	30	5	0	4	188.2	15.7	12
1992						0	0	0	0	0			0	0	5
1993				0	0	0	0	0	0	0			0	0	7
1994	0	0	0	0	0	0	0	0	0	23.5	0	0	23.5	2	12
1995	0	0	0	0	0	0	0	0	66	10	25	30	131	10.9	12
1996	0	0	8	4	14	30	21	28	56.3	29	0	0	190.3	15.9	12
1997	0	0	27	25	13	23	24	11	14	60.5	5	0	202.5	16.9	12
1998	4	8	2.5	0	2	40	45	51	62.5	49	15	0	279	23.2	12
1999	0	0	0	0	0	60.5	20.7	20	16	0	0	0	117.2	9.8	12
2000	0	0	0	0	0	65.6	40.3	41	20	6	6	2	180.9	15.1	12
2001	10	8	0	12	7	56.5	35	65	10	15	0	0	218.5	18.2	12
2002	6	12	0	0	0	0	20	24	30	3	0	0	95	7.9	12
2003	8	0	0	0	14	11	20	70	59	20	0	0	202	16.8	12
2004	0	0	0	0	0	56	4	26	70	25	0	0	181	15.1	12
2005	0	6	1	0	0	0	25	40	15	20	0	0	107	8.9	12
2006	20	0	15	18	20	20	30	60	25	20	10	0	238	19.8	12
2015	0	6	10	18	10	8	5	20	10	12	10	10	119	9.9	12
2016	8	0	17	5	15	21	60	40	10	9	15	5	205	17.1	12
2017	0	10	10	0	7	0	25	20	65	5	3	0	145	12.1	12
2018	0	10	0	8	20	20	11	30	50	30	15	10	204	17	12
2019	0	0	10	0	10	0	5	10	10	15	30	22	112	9.3	12
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MÁXIMA	20	12	27	25	36	71	94	70	70	60.5	30	30	279	23.2	
MEDIA	2.5	2.5	4.7	4.9	9.4	22.7	27.6	30.7	26.3	16	6.7	3.9	153.8	12.9	
DESV.ST	4.7	3.9	7.3	7	9.5	22.5	23.4	20.2	22.5	15.5	9.1	7.4	72.6	6	

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	0	1	0	19	59.5	8	33.3	56	8	41	0	19	244.8	20.4	12
1983	10.7	0	20	0	35	95	146	101	6.5	27	38	0	479.2	39.9	12
1984	0	10	0	0	17	62	194.4	19		12	0	0	314.4	28.6	11
1985	0	0	0	36.7	106	123	201.03	93	21	16	0	5	601.73	50.1	12
1986	0	0	0	21	21	206.1	121	85	114	74	35	14	691.1	57.6	12
1987	0	0	3	18	8	15.1	139		33	0	21	0	237.1	21.6	11
1988	11	0	3	5.8	0	79	97.7	217.3	39	0	0	0	452.8	37.7	12
1989	0	4	0	7	53	77	113	157	49	0	0	0	460	38.3	12
1990	0	0	6	4		0	100	83	70	28	0	0	291	26.5	11
1991	0	0	0	0	9.2	57.9	241.9	98.7	69.5	15.9	0	13.2	506.3	42.2	12
1992						0	0	0	0	0			0	0	5
1993				0	0	0	0	0	0	0			0	0	7
1994	0	0	0	0	0	0	0	0	0	83.3	0	0	83.3	6.9	12
1995	0	0	0	0	0	0	0	0	114	23	37	55	229	19.1	12
1996	0	0	10	4	32	113.1	41	94.3	213.6	53.2	0	0	561.2	46.8	12
1997	0	0	48	53.9	32.1	82	47.4	38.2	19.5	118	9	0	448.1	37.3	12
1998	4	8	2.5	0	3	118	88	165	244.5	117.5	15	0	765.5	63.8	12
1999	0	0	0	0	0	60.5	74.8	51.2	29	0	0	0	215.5	18	12
2000	0	0	0	0	0	87.2	87.8	67.7	62	6.4	6.4	2	319.5	26.6	12
2001	15	14	0	15	9	138.5	137	105	49	17	0	0	499.5	41.6	12
2002	11	12	0	0	0	0	97	55.8	97.7	9	0	0	282.5	23.5	12
2003	16	0	0	0	14	96	112	134	312	89	0	0	773	64.4	12
2004	0	0	0	0	0	121	11	104	163	27	0	0	426	35.5	12
2005	0	6	1	0	0	0	105	179	28	41	0	0	360	30	12
2006	33	0	20	22	102	23	139	190	258	162	49	0	998	83.2	12
2015	0	9	10	35	11.5	25.7	23	44	53	12	49	17.5	289.7	24.1	12
2016	16	0	59	9	42	122.6	121.5	322	70	20	25	8	815.1	67.9	12
2017	0	10	21	0	7	0	184.3	72	204	17	5	0	520.3	43.4	12
2018	0	15	0	8	57	138	68	83	238	63	79	15	764	63.7	12
2019	0	0	10	0	11.5	0	23	66	53	40	45.2	22	270.7	22.6	12
MÍNIMA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MÁXIMA	33	15	59	53.9	106	206.1	241.9	322	312	162	79	55	998	83.2	
MEDIA	4.2	3.2	7.6	8.9	22.5	61.6	91.6	92.5	90.3	37.1	14.8	6.1	430	36	
DESV.ST	8	5	14.6	13.7	29.6	57.3	65.5	72.7	90.1	41.3	21.5	11.9	243.2	20.1	

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982	157.4	150.3	241.2	265.7	202.6	238.7	16.9	177.9	179.9	142.5	139.4	123	2035.5	169.6	12
1983	82.7	148	209.6	272.8	273	238	155.3	152.9	134	149.7	109.8	105.9	2031.7	169.3	12
1984	102.7	125.3	197.2	242.9	211.2	187.9	122	56.6		122	143.1	114.6	1625.5	147.8	11
1985	147.5	161.2	227.7	211.8	209.4	147.8	129.96	142.2	164.6	151	128.5	135.8	1957.46	163.1	12
