 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 22063 
 NOMBRE    : QUERETARO (DGE) 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1982						41.3	17.2	14.7	13	31.7		7.9	125.8	21	6
1983	7.5	5.6	15.4	0	11.6	13							53.1	8.8	6
1984	7.4	6.5	0	0	5.2	10.2	60.3	24	18.5	12	2.3	19.2	165.6	13.8	12
1985	3.2	0.2	0	34.9	27.4	88.9	35.8	26.4	14.7	37.5	4.2	8	281.2	23.4	12
1988							43.3					0	43.3	21.6	2
1989	1.2	11.2	0	2.1	32.5	46.2	17.4	40.8	0	2	3	8	164.4	13.7	12
1990	0	11.3	3.2	0	26	25	33	24.4	18.8	34.6	9	1.6	186.9	15.6	12
1991	7.5	4.2	0	1	3	47.3	55.8	6.8	46.5	4.2	3.1	7.2	186.6	15.5	12
1992	20.2	8.6	3.8	4.8	11.1	34	47.5	41.9	39	24.4	8	0	243.3	20.3	12
1993	2.9	1.2	6.8	9.9	4.8	40	30	5.8	13.4	7.7	22.3	0	144.8	12.1	12
1994	7.1	0	6.7	16.2	20	17.1	17.9	21.5	30.7	17.8	0	0	155	12.9	12
1995	2.9	1.3	0	8	60	30	10.9	31.8	30.7	18.7	8	22.1	224.4	18.7	12
1996	0	0	0	0	11.5								11.5	2.3	5
2002	19.6	16.5	0	29	10.5	21.2	62.9	80	26	38.6	12.4	0	316.7	26.4	12
2003	5.5												5.5	5.5	1
2005	4	6.2	6	3	1.5	0.1							20.8	3.5	6
2006	16.5	2	9	9.4	29.4	10.6							76.9	12.8	6
2007	4.2	13	0.8	3.4	14.3	35	50.5	28.6	30.6	32	14.2	0.7	227.3	18.9	12
2008	0	0	0.3	13.5	18.3	30	28.6	31.3	50.3	1.2	0	0	173.5	14.5	12
2009	6.7	0	3.8	3.8	8	8.1	18.5	7.7	85.9	10	0.9	13	166.4	13.9	12
2010	22.7	47.4	0.4	5.3	1.2	12.3	62	23.7	17.6	0	0	0	192.6	16	12
2011	0.7	0	0	0.2	3.6	69.5	24.5	16.8	36	5.9	0	0	157.2	13.1	12
2012	7.7	14.8	0.8	0.5	4.6	45	46.5	43.3	31	3.5	14.9		212.6	19.3	11
2013	3	0		0.5	41	24.8		14	47.5	17.9	17	14.2	179.9	18	10
2014	0					47.7	34.4	67.5	66.1	53.6	3.8	0.3	273.4	34.2	8
2015	0.1	11.1	94.7	21.5	26.6	58	24.3	19.8	41.2	27.6	26.5	3.3	354.7	29.6	12
2016	4	0	16.6	14.3	38.7	15.9	67.1	39.3	9.9	4.1	8	0	217.9	18.2	12
2017	0	1.3	9.6	0.3	88	19.3	25.2	41.3	74.2	1.5	0	0	260.7	21.7	12
2018	11	33	0	2.8	38	36	17.3	18.8	39.5	15	15.9	0	227.3	18.9	12
2019	0	0	15	0.4	16.6	76.9	51	19.8	32.9	44.3	0.9	13	270.8	22.6	12
2020										0			0	0	1
2023										0			0	0	1
