 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 22067 
 NOMBRE    : LA VENTA 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1984						16	21	20	20	9	2	0	88	12.6	7
1985	2	1	6	10	20		31.3	20	7.5	4	5.2	2.5	109.5	10	11
1986	0	4	0	5.8	20	46.7	34.5	38.5	51	49	23.5	0	273	22.8	12
1987	0		0	15.5	41.8	9	26	26.5	20	0	5.8	0	144.6	13.1	11
1988	0	0	0	42.8	0	22.5	46	18.5	8	0	0	0	137.8	11.5	12
1989	0	0	0	1	26	81	15	34.8	9.5		5		172.3	17.2	10
1990	6.5	21	31.5	1.5	18	27	31.5		31.5	21	1.5	1.5	192.5	17.5	11
1991	0	0	0	0	1	47	40	14	31	16			149	14.9	10
1992	40	6	14										60	20	3
1993		2	1.5	0	3	34	42	23			17	0	122.5	13.6	9
1994	0	0	0	16		33	5	35	7	18.7	11.3	1.1	127.1	11.6	11
1995	2	3			15	0		18	21	4			63	9	7
1996	0	0	0	0	0	7	4	20	32	36	0	0	99	8.2	12
1997	0	0		28	8	18	42.2	21.4	34		0	0	151.6	15.2	10
1998	1												1	1	1
2000	0	0	0	0.6	0	38		26		6.5	10.5	2	83.6	8.4	10
2001	11	15	2.7	6	3.5	33	29.5	56.5	22.4	18.9	4.3	5	207.8	17.3	12
2002	15.3	4.6	0	15	6.2	12	37	24.7	46	38	19	0	217.8	18.1	12
2003	4	0	0	0	4.5	18.3	43	58	47		0	0	174.8	15.9	11
2004	46	0	11	4	29	50	24	42	24	21	0	0	251	20.9	12
2005	4.5	1.5	0	7	13	1	20	33	19	9.5	0	0	108.5	9	12
2006	18.2	2.4	10.1	60	22.7	16.8	40	46.5	43.5	25.5	6	0	291.7	24.3	12
2007	7.5	29											36.5	18.2	2
2015	18.2	2.4	10.1	60	22.7	16.8	40	46.5	43.5				260.2	28.9	9
2016		29	2	5	8	8	86	40.5	25.6	13.4	5	7	229.5	20.9	11
2017		0	0	0	13.7	7.3	9	1.2	17.6	4.2	1.4	0	54.4	4.9	11
2018	0.3	0	0	5.2	0	7.1	8.3	2.4	10.9	0	0	0	34.2	2.9	12
2019	0	0	0	0	0	10	0	0	1	1.8	0	3.8	16.6	1.4	12
MÍNIMA	0	0	0	0	0	0	0	0	1	0	0	0	1	1	
MÁXIMA	46	29	31.5	60	41.8	81	86	58	51	49	23.5	7	291.7	28.9	
MEDIA	7.4	4.8	3.9	12.3	12	23.3	29.4	27.8	24.9	14.8	5.3	1.1	137.8	13.9	
DESV.ST	12.5	8.8	7.4	18.3	11.5	19.2	18.8	15.9	14.4	13.9	6.9	2	81	6.9	

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1984						58.5	91	72	80	13.5	2	0	317	45.3	7
1985	5.51	1	7.53	31.3	50.5		140.51	39.81	8.5	6	6.2	3.5	300.36	27.3	11
1986	0	6	0	25.3	38.1	187.9	138.2	69.5	72	132	51.4	0	720.4	60	12
1987	0		0	22.5	121.8	16	90.5	46.91	22.5	0	10.3	0	330.51	30	11
1988	0	0	0	51.5	0	60	202.7	61	15.02	0	0	0	390.22	32.5	12
