 COMISIÓN NACIONAL DEL AGUA
 COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
 PROYECTO DE BASES DE DATOS CLIMATOLÓGICOS

 ESTACIÓN  : 22070 
 NOMBRE    : PLANTEL 7 



LLUVIA MÁXIMA 24H
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1996				0	10	36	22	13	49.5	30.5	10.8		171.8	21.5	8
1997				35	23	50	21		10.7	20	26.4		186.1	26.6	7
1998		12.2	1.2		0.3	36.4	12	33	53		36.3		184.4	23	8
1999		93.5	2	2	2.5	28	28	20	6.4	5	0	0.4	187.8	17.1	11
2000	0	0	0.8	5.5	6.1	43.6	54	30	26.8	5.9	6	1.6	180.3	15	12
2001	3.8	10.5	1.5	0	6.2	32.3	49	56.5	18.3	18.2	1.3	0	197.6	16.5	12
2002	0	0	0	0	14.5	5.6	66.9	33.5	25.1	27.5	17.5	0	190.6	15.9	12
2003	11	0	0	1	13.7	34.8	73	38.5	92	9.9	1.2	0	275.1	22.9	12
2004	4.8	1.6	19	0	53.6	24	24	72.4	53.8	22.9	0	1.6	277.7	23.1	12
2005	3.8	6.9	4	4	1.5	1.2	23.3	69	21.2	7.4	0	0	142.3	11.9	12
2006	21.2	0	8.7		8	12.5	28.5	70.4	18.8	22.9	21	0	212	19.3	11
2007	3.8	26.7	1.6	8.9									41	10.2	4
2008	0.3	2.8	0	7	7.8	40	40.1	27.3	23.8				149.1	16.6	9
2009	7	0	11		9.3	47	11	46.3	128.9	24.5	0	7.8	292.8	26.6	11
2010	0			10	2.2	104.4	15.3	20.5	36.8	1.2	0	0	190.4	19	10
2011	0	0	0	0	1.1	51	11	15.3	44				122.4	13.6	9
2012				0	9.3	31.7	60.5	16.2	32.8	4.5	15	1.7	171.7	19.1	9
2013	0	0	3.7	0.4	70	51.3	74.5	21	16	17.8	12.7	0	267.4	22.3	12
2014	1.5	0	0	13.5	13.8	60	36	19.2	16	4.7	1.9	0	166.6	13.9	12
2015	0	14.5	80.5	15.2	33	34	13		36	23	6.5	2.7	258.4	23.5	11
2016	6.2	0	20	0	33	29.5	38.8	69	21.2	1	3.3	0	222	18.5	12
2017	0	0.4	8.9	7.5	24	32.3	15	19.2	29.9	1	0	0	138.2	11.5	12
2018	9.8	8.6	0	14.8	5.4	22.5	18.4	17.4	20.3	19.6	17.4	0.2	154.4	12.9	12
2019	0	0	0.7	0	20.8	15.9	23.6	17.4	17.5	6.1	3.6	3.4	109	9.1	12
MÍNIMA	0	0	0	0	0.3	1.2	11	13	6.4	1	0	0	41	9.1	
MÁXIMA	21.2	93.5	80.5	35	70	104.4	74.5	72.4	128.9	30.5	36.3	7.8	292.8	26.6	
MEDIA	3.9	8.9	8.2	5.9	16	35.8	33	34.5	34.7	13.7	8.6	1.1	187	17.9	
DESV.ST	5.5	21.1	18.1	8.5	17.4	21	20.5	20.8	27.7	9.9	10.3	2	59	5.1	

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1996				0	15	90.7	41.6	48.8	193	57	20.6		466.7	58.3	8
1997				101.3	42.3	123.1	32.9		11.3	40.3	31.2		382.4	54.6	7
1998		12.2	1.2		0.3	107.3	20.6	187.4	203.8		43.8		576.6	72.1	8
1999		188.1	2	2	3.5	58.2	58.9	55.5	10.2	5	0	0.4	383.8	34.9	11
2000	0	0	0.8	5.5	7.5	140.9	88.7	61.1	50.7	6.4	10.9	1.6	374.1	31.2	12
2001	3.8	10.5	1.5	0	11.5	158.5	212.4	155.9	43.2	22.4	1.3	0	621	51.8	12
2002	0	0	0	0	27.32	12.1	86.5	79.1	105.7	53.43	31.71	0	395.86	33	12
2003	17.72	0	0	1	22.2	86.23	146.01	120.71	271.75	35.02	1.21	0	701.85	58.5	12
2004	10.1	2.4	34.7	0	70.32	98.63	98.63	212.8	186.62	43.42	0	1.6	759.22	63.3	12
2005	3.8	7.8	9.92	4	1.52	1.21	112.4	131.93	24.3	19.01	0	0	315.89	26.3	12
2006	23.7	0	8.71		14.1	42.6	89.9	185.9	76.94	46.73	22.8	0	511.38	46.5	11
2007	4.6	43.7	2.4	8.9									59.6	14.9	4
2008	0.3	2.8	0	14.5	14.5	79.4	136.41	191.12	68.22				507.25	56.4	9
2009	7.3	0	11		26.5	90.7	27.01	94.9	185.61	39.4	0.01	12.1	494.53	45	11
2010	0			12.4	2.9	118.1	33.4	44.1	81.9	1.2	0	0	294	29.4	10
2011	0	0	0	0	1.1	131.6	27.6	40.5	99.2				300	33.3	9
2012				0	13.6	64.2	187.5	46.6	67.2	4.5	23	1.7	408.3	45.4	9
2013	0	0	3.7	0.4	103.2	122.3	99	37	81.8	40.6	21.1	0	509.1	42.4	12
2014	1.5	0	0	15	35.5	172.5	90.7	27	59.3	16.1	1.9	0	419.5	35	12
2015	0	16.2	98	30	103.6	144.5	26.9		92	59.1	10.2	2.7	583.2	53	11
2016	8.4	0	42	0	103.6	98.5	170.5	131.9	24.3	1.41	5.6	0	586.21	48.9	12
2017	0	0.6	21.71	9.5	31.8	96.6	75.6	71.5	132.1	3	0	0	442.41	36.9	12
2018	9.8	15.5	0	17.2	7.8	158.8	44.2	40.9	96.8	23.9	44.7	0.2	459.8	38.3	12
2019	0	0	0.91	0	22	59.1	73.3	43.2	52.2	16.9	4.5	3.4	275.51	23	12
MÍNIMA	0	0	0	0	0.3	1.21	20.6	27	10.2	1.2	0	0	59.6	14.9	
MÁXIMA	23.7	188.1	98	101.3	103.6	172.5	212.4	212.8	271.75	59.1	44.7	12.1	759.22	72.1	
MEDIA	4.8	15	11.9	10.6	29.6	98.1	86.1	95.6	96.4	26.7	13.1	1.3	451.2	43	
DESV.ST	6.7	42.1	23.5	22.3	33.3	44.9	54.6	60.9	69	19.9	15	2.9	150.6	13.9	

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1996				134.66	113.6	129.13					27.89		405.28	101.3	4
1997				127.37	74.26	21.35	148.62		92.63	68.96	56.69		589.88	84.3	7
1998		134.49			103.99	143.63	6.2	44.18	105.51		70.42		608.42	86.9	7
1999	8.4	26	97	79	90	73	127.75	65	67				633.15	70.3	9
2000		54	116	98	123	148.18		132.73	83.22	104.16	111.87	111.6	1082.76	108.3	10
2001	96.35	114.95	135.35	120.18	150.09	157.78	151.29	182.99	189.32	203.37	178.92	142.2	1822.79	151.9	12
2002								13.7					13.7	13.7	1
2004								134.58	153.35	149.39	75.15	76.87	589.34	117.9	5
2005	108.81	67.13	163.95	162.95	176.4	171.14	200.16	129.29	109.88	117	75.35	99.92	1581.98	131.8	12
2006	70.76	83.7	97.54								102.78	109.23	464.01	92.8	5
2007	151.08	133.78	117.41	150.01									552.28	138.1	4
2008	58.93	77.07	90.33	136.57	158.26	135.21	138.01	145.68	95.11				1035.17	115	9
2009									148.7				148.7	148.7	1
2010	73.2			105.69	87.52	90.64	114.93	76.32	93.41	116.01	121.83	127.2	1006.75	100.7	10
2011	142.91	117.48	135.03	138.9	146.49	155.09	166.34	152.66	154.05				1308.95	145.4	9
2012				146.16	160.76	153.14	168.44	147.76	152.71	118.97	100.12	84.91	1232.97	137	9
2013	65.34	141.38	163.22	210.21	222	198.26	146.46	149.64	137.72	153.91	158.54	95.87	1842.55	153.5	12
2014	100.62	71.2	192.99	179.61	187.79	186.06	120.54	105.9	108.47	89.54	116.76	93.17	1552.65	129.4	12
2015	117.72	102.65	111.95	125.76	145.66	121.28	141.2	125.33	114.16	114.72	63.7	79.52	1363.65	113.6	12
2016	92.4	119.73	133.53		145.66	169.14	166.33	125.7	109.68	84.56	60.51	60.43	1267.67	115.2	11
2017	100.47	102.84	151.15	153.27	190.52	148.8	138.81	129.1	122.75	96.51	70.87	57.2	1462.29	121.9	12
2018	86.07	81.68	154.21	169.25	176.96	180.18				97.6	81.35	69.24	1096.54	121.8	9
2019	92.89	111.45	146.66	158.96	171.24	118.93	117.88	137.06	114.06	94.14	95.4	87.63	1446.3	120.5	12
MÍNIMA	8.4	26	90.33	79	74.26	21.35	6.2	13.7	67	68.96	27.89	57.2	13.7	13.7	
MÁXIMA	151.08	141.38	192.99	210.21	222	198.26	200.16	182.99	189.32	203.37	178.92	142.2	1842.55	153.5	
MEDIA	91.1	96.2	133.8	141	145.8	138.9	136.9	117.5	119.5	114.9	92.2	92.5	1004.7	113.9	
DESV.ST	34.7	32.2	29	31.6	40.2	43.2	42.7	43.5	30.8	34.4	37.8	24.3	521.3	31.2	

TEMPERATURA MÁXIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1996				29	29	29	32	34	32	32	30		247	30.9	8
1997				45	38	41	35		36	39	29		263	37.6	7
1998		30	32										62	31	2
1999							31		32	27	25	24	139	27.8	5
2000	27	28	29	31	32	31	30	30	30	28	27	27	350	29.2	12
2001	27	27	32	32	34	31	31	31	28	29	26	26	354	29.5	12
2002	26	27	30	31	34	29	30	30	28	27	28	27	347	28.9	12
2003	25	29	31	33	35	32	30	29	28	26	26	26.5	350.5	29.2	12
2004	25.5	26	29	28	32	29	29	29	29	28	27	27	338.5	28.2	12
2005	28	28	28	30	33.3	36	33	30	29	28	28	27	358.3	29.9	12
2006	25	28	31		32	35	34	29	28	29	27	25	323	29.4	11
2007	26	28	30	30									114	28.5	4
2008	28	29	28	33	35	33	31	31	29				277	30.8	9
