NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA 0 0 0 0 0 0 0 0
4 21 18.1 10 0 6 0 0 2.5 18 8.5 2.5
28 23 16 13 0 0 1.5 1.5 0 0 0 6
6 3 13 4 0 0 0 0 12 1 14.5 21
3 0 21 24.5 5 2 5 2 0 0 8 20
8.5 91 18.5 10 0 0 0 0 0 125 13 30
13.5 26.5 11 4.5 2 0 0 0 0.1 0.9 0 0
8.5 7 24 20.5 15.5 1.5 6.5 0 0 4.5 3 11
6 15 3 8 0 0 0 0 5 0 45 11
34 27 14 0 12 0 0 2 0 1 26 NA
4 30 0 11 0 0 0 0 0 0 20 53
74 46 19 22 0 0 8 2 13 38 27.5 1.5
8 40 40 15 11 0 0 0 0 13 35 22
8 26 44 20 0 0 0 0 18 3 NA NA
49 24 35 4 6 0 0 0 0 22 3 13
6.5 13.5 22 8 0 0 0 0 0 0 3 20
13 16 24 NA 25 0 0 0 0 5 11.5 28
37 23 20 NA 12 0 10 0 21 1.1 16 53
54 63 9 NA 16 0 0 1 2 NA NA NA
30 7.5 7 NA 0 0 0 0 0 NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
10 18 24.5 NA NA NA NA NA NA NA NA NA
66.3 34 20 3 3 0 2 6 0 1.3 0 7.8
25 22.1 18.2 11.5 0 0 8.5 0 11 2.5 13.8 4
15 30 23.2 8.2 1.3 0 NA 12 3 2.2 35 19.4
16.5 25.5 39.5 10.6 1.1 0 0 48 21.5 9.7 16.5 17.3
9.8 0.6 0.8 8.1 0 0 22.8 10.1 3 0.1 6.1 36
5.5 8.5 6.5 3.5 0 0 2.5 0 9.5 16.1 25.5 13.2
3.7 12.5 32 1.8 0 0 2.7 3 5.4 5 NA 7.5
23 29.5 9.7 11 4.8 0 0 18.5 5.8 16.5 13 23.5
57 13 15.3 19.5 1.2 0 16 11.3 0 0.4 6.2 10.5
NA NA NA NA 1.8 NA 0 NA NA NA NA 0
NA NA NA NA NA NA NA NA NA NA NA NA
13.5 56.4 29 2 0 0 20 3.5 10.6 20 0 27
31.3 33.5 33.5 2.7 7.6 0 0 11 0 8.5 3.1 30
52.8 48 15.6 0 0 5.6 0 16.7 0 5.2 16.5 9.7
9.2 40 17.2 10.2 0 0 3 4.3 0 0 18.4 31
57 14.5 45.5 22.7 17.5 7.2 0 4.5 29 0 0 3.5
22.9 26.7 17.6 0 0 0 2.3 8.5 0 7.3 6.3 6
27 13.5 6.5 12 0 8 0 1 14.6 0 13 44.6
11.4 46 38.7 16.7 7.4 0 0 3.7 1 0 5.2 13.2
11.9 20.6 15.6 NA 0 0 37.9 0 0 0 0 3.5
11.2 32.8 25.2 4 0 15 0 6.4 0 14.4 6.7 3.2
29.6 26.3 11.3 8.3 0 0 11.4 0 0 0 0 NA
4.2 0 10.4 4.2 15 0 9.5 0 0 1.5 6.4 NA
4 27.2 31.4 15.2 1.2 0 0 19.2 0 0 11.5 1.5
5.2 47.3 7.4 4.7 0 0 0 0 0 63.7 14.3 24.2
34.2 20.2 8.4 2.1 4.7 0 7.6 21.2 0 6.7 0 0
3.2 1.7 25.7 8.5 13.2 0 4.9 0 0 0 0 6.4
6.7 7.3 2 0 4.2 0 0 4 15 0 41 8.2
27.5 16.7 14.5 1 5 0 0 7 0 0.5 10.4 0
1 19.6 0 7.2 0 0 0 0 0 0 12.7 33.7
89.2 25.8 14.2 20 0 0 0 NA 7.5 49 9 22
4.5 59 13.8 9.5 3.5 0 10 0 0 9 21 29.7
4.2 17.3 22 13.5 0 0 0 11 5 2.5 NA NA
40.5 14.2 23.9 1 2.3 0 7 31.2 8.7 10.4 6 13
0 33 8.4 NA 0 0 7 14.7 19 10.5 1.5 11.5
9.7 5.2 24 3 8 10 26.5 0 2 3.5 18.2 6
28.5 0 15.2 21.2 4 0 9.2 0 11 0 9.5 31.5
37.2 30.7 5.2 0 6.5 0 0.5 44.2 2 0 7.2 0
21.6 8.6 15.2 0 2.3 0 0 8 4.7 3.2 11.2 22.5
13.4 27.2 2.1 1.6 12.2 0 4.3 0 16.7 0 35.8 0
10.1 9.5 56.5 17.6 0 0 0 0 0 2.2 6.3 9.5
107 57 22 13.5 5.5 0 0 0 0 5 0 9.5
16 21 25.5 10.5 5 0 0 0 6 3 16 13
25 28.5 41.5 7 0 0 0 1 6.5 4.5 41 30
23 39 80 22.5 0 0 0 5.5 40 34 21 20
4 0 0.8 7.5 0 0 2 0 0 4 12 42
9 10 7 2 0 1 2 0 12 11.5 45.5 20
12.6 28.5 22.5 3.5 0 0 1.5 0 6 6 15 8
37 33 13 15.5 0 0 1 1 3.5 54 80 40
60 38 16 36 3 0 1 0 0 0 7 6
6 5 20 1.5 2.5 0 0 0 3 4 0 8
20 8 0 NA 5 2.5 0 0 0 0 22 12
0 91 28 0 0 0 20 NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
89 44.5 13 15 6 2 0 0 0 0 11 0
13 22 18 10 0 0 0 0 0 3.5 7.7 26
50.5 61.5 52 22 48 33 NA 0 0 0 0 0
NA 21.3 35.3 0 0 0 NA NA NA NA NA NA
0 15.3 0 NA NA 0 0 0 14.2 0 0 2
23.6 70.2 37 25 NA NA NA NA NA 0 12.1 12.8
0 21 18.2 19.2 0 NA NA NA NA NA NA NA
0 24 24.3 15 0 0 0 0 0 NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA 0 0 0
10 4 28 26.5 25.5 7 0 NA NA NA NA 18
8 26 4.5 13 2 0 0 0 0 0 54.5 10
42.6 24 12 0 12 0 0 3 0 1 28 0
2 23.5 0 6.5 0 1 0 0 0 0 21.5 0
75 39 0 0 0 0 0 0 0 47 22 0
4 44 37 21 7 0 0 0 0 7 33 24.5
9.5 15 31 20 0 0 2 0 8.5 3 NA NA
30 30 28 0 10 0 0 3.2 0 13.5 7 14
2 6.5 21 NA 0 0 0 0 0 0 7 22.5
9.5 13.5 67 NA 1.5 0 0 0 11.5 0 8 22.5
61 36.5 19.5 NA 12.5 0 0 0 17 0 9.5 76.5
51.8 58.7 12.8 NA 23 0 0 5.5 1.5 0 8 0
52 12.5 8 NA 2 0 NA NA NA NA NA NA
